국회의원코드,-,국회의원명,국회의원한자명,국회의원영문명,생일구분코드,생일일자,직책명,정당명,선거구명,선거구구분명,위원회명,소속위원회명,재선구분명,당선대수,성별,전화번호,국회의원이메일주소,국회의원홈페이지URL,보좌관,비서관,비서,약력,사무실 호실,국회의원사진
LNU9698K,역대의원,류진,柳津,null,음,1905-08-07,null,민주당/민정당,전북 고창군갑,지역구/전국구,null,"한일간조약과제협정비준동의안심사특별위원회, 문교공보위원회",재선,"제5대, 제6대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LNU9698K.jpg
NCP9875N,역대의원,류호정,柳好貞,RYU HOJEONG,음,1992-08-09,null,정의당,비례대표,비례대표,null,null,초선,제21대,여,null,null,null,null,null,null,1992년 8월 9일 생 이화여자대학교 사회학과 졸업  [경력] (현) 제21대 국회 문화체육관광위원회 위원 (현) 제21대 국회 인구위기특별위원회 위원 (현) 제32대 유네스코한국위원회 위원  (전) 정의당 원내대변인 (전) 제21대 국회 산업통상자원중소벤처기업위원회 위원 (전) 제21대 국회 윤리특별위원회 위원 (전) 민주노총 화섬식품노조 선전홍보부장 (전) 스마일게이트 메가포트 마케팅실 대리,null,https://www.assembly.go.kr/static/portal/img/openassm/NCP9875N.jpg
B6M4773K,역대의원,류홍,柳鴻,null,음,1899-11-05,null,대한독립촉성국민회/민주당/민정당,서울 영등포구을/서울 영등포구을,지역구/지역구/전국구,null,"국방위원회/재정경제위원회/재정경제위원회, 보건사회위원회, 농림위원회, 건설위원회",3선,"제2대, 제4대, 제6대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/B6M4773K.jpg
V9C3549Z,역대의원,마달천,馬達千,null,음,1929-04-01,null,유신정우회,null,통일주체국민회의,null,"건설위원회, 농수산위원회",초선,제9대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/V9C3549Z.jpg
FJK3396E,현직의원,맹성규,孟聖奎,MAENG SUNGKYU,음,1962-04-05,위원장,더불어민주당/더불어민주당/더불어민주당,인천 남동구갑/인천 남동구갑/인천 남동구갑,지역구/지역구/지역구,국토교통위원회,국토교통위원회,3선,"제20대, 제21대, 제22대",남,"02-784-6181, 032-466-9100",minjoomsk@naver.com,https://blog.naver.com/minjoo_maeng,"이택준, 하정철","김혜리, 이귀성","류정서, 나선영, 서종원, 손서현, 이가현",<주요경력>  2022.07.~  제21대 국회 후반기 국토교통위원회 위원 2022.07.~  제21대 국회 후반기 정치개혁특별위원회 위원                2021.07.~ 제21대 국회 전반기 예산결산특별위원회 간사 2021.02.   더불어민주당 수석사무부총장 2020.09 ~더불어민주당 예산결산위원회 위원장 2020.06.~제21대 국회 전반기 농림축산식품해양수산위원회 위원 2020.05.~제21대 국회의원(인천 남동구갑) 2019.10.~더불어민주당 사회복지특별위원회위원장 2019.08.~ 제20대 국회 예결산특별위원회 위원  2019.08.~ 제20대 국회 운영위원회 위원 2019. 5.~ 더불어민주당 원내부대표 2018.10.~ 더불어민주당 정책위원회 상임부의장 2018. 7.~  제20대 국회후반기 보건복지위원회 위원 2018. 6.~  제20대 국회의원(인천 남동구갑) 2017. 6.~&rsquo;18. 4.  문재인정부 국토교통부 제2차관 2015. 7.~&rsquo;17. 4.  제14대 강원도 경제부지사    2010. 2.    주중국대한민국대사관 공사참사관   2006. 4.    참여정부 청와대 민정수석실 행정관   1988. 4.    제31회 행정고시  <학력사항> 한국항공대학교 대학원 법학박사 캐나다 맥길대학교 대학원 법학석사 서울대학교 대학원 행정학 석사 고려대학교 행정학 학사 부평고등학교 졸업,의원회관 918호,https://www.assembly.go.kr/static/portal/img/openassm/new/250f36e411ab4b34bf0eb7fcadfbadf7.jpg
MW11327U,역대의원,맹은재,孟殷在,null,음,1935-04-20,null,민주정의당,"경기 인천시,중,남구",지역구,null,"국방위원회, 예산결산특별위원회, 내무위원회",초선,제11대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/MW11327U.jpg
5PS66776,역대의원,맹형규,孟亨奎,"Maeng, Hyung-kyu",음,1946-08-09,국회의원/국회의원/국회의원,신한국당/한나라당/한나라당/한나라당,서울 송파구을/서울특별시 송파구갑/서울 송파구갑/서울특별시 송파구갑,지역구/지역구/지역구,null,"여성특별위원회, 산업자원위원회, 예산결산특별위원회, 한보사건국정조사특별위원회, 내무위원회, 통상산업위원회/예산결산특별위원회, 통일외교통상위원회, 최근일련의언론사태진상규명을위한국정조사특별위원회, 산업자원위원회/국방위원회, 환경노동위원회, 교육위원회, 산업자원위원회/국방위원회, 환경노동위원회, 교육위원회, 산업자원위원회",3선,"제15대, 제16대, 제17대, 제17대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/5PS66776.jpg
DS76728O,역대의원,명화섭,明華燮,"Myeong, Hwa-sub",음,1923-01-21,null,신한민주당,"인천 중,남구",지역구,null,"교통체신위원회, 상공위원회",초선,제12대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/DS76728O.jpg
J1G57517,현직의원,모경종,牟炅鍾,MO GYEONGJONG,음,1989-08-10,위원,더불어민주당,인천 서구병,지역구,"행정안전위원회, 연금개혁 특별위원회","행정안전위원회, 연금개혁 특별위원회",초선,제22대,남,02-784-1813,moalarm2024@gmail.com,https://blog.naver.com/moalarm,"김형준, 유신욱","정명, 정희찬","윤소정, 김소정, 한찬종, 박소연, 최나원",- 제22대 국회의원 (인천 서구병/더불어민주당) - 더불어민주당 전국청년위원회 위원장 - 더불어민주당 원내부대표 - 더불어민주당 이재명 당대표비서실 차장 - 국회 이재명 의원실 비서관 - 경기도청 청년비서관 - 대한민국 육군 무적태풍부대 GP장,의원회관 722호,https://www.assembly.go.kr/static/portal/img/openassm/new/776af614628b4030a71734c4634c639e.jpg
H1I9867H,역대의원,모윤숙,毛允淑,null,음,1810-03-05,null,민주공화당,null,전국구,null,"문교공보위원회, 보건사회위원회",초선,제8대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/H1I9867H.jpg
IB22144F,역대의원,목요상,睦堯相,"Mok, Yo-sang",음,1935-09-09,국회의원,민주한국당/신한민주당/신한국당/한나라당,"경북 대구시,동,북구/대구 동,북구/경기 동두천시양주군/경기 동두천시양주군",지역구/지역구/지역구/지역구,null,"경제과학위원회, 예산결산특별위원회, 국회운영위원회, 법제사법위원회/헌법개정특별위원회, 국회운영위원회, 법제사법위원회/재해대책특별위원회, 내무위원회, 통상산업위원회, 국회운영위원회, 정보위원회, 정치개혁입법특별위원회, 제15대국회의원총선거에있어서공정성시비국정조사특별위원회, 법제사법위원회, 윤리특별위원회/정치개혁특별위원회, 환경노동위원회, 건설교통위원회, 행정자치위원회, 남북정상회담관련결의안기초특별위원회",4선,"제11대, 제12대, 제15대, 제16대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/IB22144F.jpg
6UE9476K,역대의원,문국현,文國現,"Moon, Kook-Hyun",음,1949-01-12,null,창조한국당,서울 은평구을,지역구,null,"독도영토수호대책특별위원회, 국회운영위원회, 정보위원회, 일자리창출 및 중소기업경쟁력특별위원회, 외교통상통일위원회",초선,제18대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/6UE9476K.jpg
GRP3908I,현직의원,문금주,文今柱,MUN GEUMJU,양,1967-06-03,위원,더불어민주당,전남 고흥군보성군장흥군강진군,지역구,"농림축산식품해양수산위원회, 국회운영위원회","농림축산식품해양수산위원회, 국회운영위원회",초선,제22대,남,02-784-1190,moongj67@gmail.com,https://blog.naver.com/mgj318,"정재현, 최민","김종훈, 송일용","박선미, 나현우, 이지훈, 김수진, 이섬규",□ 학력 - 조선대 행정학과 졸 - 전남대 행정대학원 정책학과 졸 - 미시간주립대 도시 및 지역계획학과 국제도시계획학석사(MIPS) 졸  □ 주요 약력 - (전) 전라남도 행정부지사  - (전) 행정안전부 공공서비스정책관  - (전) 조선대학교 대외협력 외래교수 ,의원회관 318호,https://www.assembly.go.kr/static/portal/img/openassm/new/e1710b2722c74ea79c98bdc53e0425ad.jpg
D9I3309M,현직의원,문대림,文大林,MOON DAELIM,음,1965-11-22,위원,더불어민주당,제주 제주시갑,지역구,농림축산식품해양수산위원회,농림축산식품해양수산위원회,초선,제22대,남,02-784-2820,moondaelim@naver.com,https://www.facebook.com/mdl0010,"오옥만, 이승돈","김원태, 전로사","문성빈, 김미경, 한재훈, 고승희, 황지영","제22대 국회의원 현) 더불어민주당 해양수산특별위원장 현) 더불어민주당 제주시갑 지역위원장 전) 문재인정부 청와대 제도개선비서관 전) 제주국제자유도시개발센터 이사장 전) 제9대 제주특별자치도의회 의장 전) 제8,9대 제주특별자치도의회 도의원",의원회관 419호,https://www.assembly.go.kr/static/portal/img/openassm/new/5c44086f31074ae99db902a7fcb4712a.jpg
V4P1608C,역대의원,문대성,文大成,MOON Dae Sung,음,1976-09-03,null,새누리당,부산 사하구갑,지역구,null,"교육문화체육관광위원회, 예산결산특별위원회, 환경노동위원회, 허베이스피리트호 유류피해대책 특별위원회, 외교통일위원회, 평창동계올림픽 및 국제경기대회지원 특별위원회, 외교통상통일위원회",초선,제19대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/V4P1608C.jpg
OJJ2363Y,역대의원,문동환,文東煥,Moon Tong-hwan,음,1921-05-05,null,평화민주당,null,전국구,null,"5.18광주민주화운동진상조사특별위원회, 외무통일위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/OJJ2363Y.jpg
MYN14035,역대의원,문명호,文命浩,null,음,1896-12-09,null,민주당,경북 군위,지역구,null,내무위원회,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/MYN14035.jpg
TGL10010,역대의원,문미옥,文美玉,MUN MIOCK,음,1968-12-20,null,더불어민주당,비례대표,비례대표,null,"미래일자리 특별위원회, 미래창조과학방송통신위원회, 여성가족위원회",초선,제20대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/TGL10010.jpg
3EN5701O,역대의원,문병량,文炳良,null,음,1933-07-24,null,민주정의당,"전북 이리시,익산군",지역구,null,"제24회서울올림픽대회지원특별위원회, 예산결산특별위원회, 보건사회위원회",초선,제11대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/3EN5701O.jpg
38S4789M,역대의원,문병하,文炳夏,"Moon, Byung-ha",음,1932-05-03,null,한국국민당,null,전국구,null,"재무위원회, 예산결산특별위원회, 건설위원회",초선,제12대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/38S4789M.jpg
RYL1698T,역대의원,문병호,文炳浩,MOON Byeong Ho,음,1959-12-27,국회의원,열린우리당/민주통합당,인천광역시 부평구갑/인천 부평구갑,지역구/지역구,null,"대법관(차한성)임명동의에관한인사청문특별위원회, 서해안유류오염사고대책특별위원회, 헌법재판소재판관후보자를겸하는헌법재판소장(이강국)임명동의에관한인사청문특별위원회, 예산결산특별위원회, 윤리특별위원회, 국민연금제도개선특별위원회, 대법관(박시환)임명동의에관한인사청문특별위원회, 대법원장(이용훈)임명동의에관한인사청문특별위원회, 투명사회협약실천특별위원회, 법제사법위원회, 국회운영위원회, 정치개혁특별위원회, 보건복지위원회/미래창조과학방송통신위원회, 정보위원회, 국가정보원등 국가기관의 정치적 중립성 강화를 위한 제도개선 특별위원회, 예산결산특별위원회, 정치쇄신 특별위원회, 국토교통위원회, 평창동계올림픽 및 국제경기대회지원 특별위원회, 국토해양위원회",재선,"제17대, 제19대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/RYL1698T.jpg
BWW4485Q,역대의원,문부식,文富植,null,음,1929-01-04,null,신민당,"경남 남해,하동군",지역구,null,"건설위원회, 예산결산특별위원회, 상공위원회",초선,제9대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/BWW4485Q.jpg
XXJ47169,역대의원,문석호,文錫鎬,"Moon, Seok-ho",음,1959-07-12,국회의원/국회의원,새천년민주당/열린우리당,"충청남도 서산시,태안군/충청남도 서산시,태안군",지역구/지역구,null,"국무총리(김석수)임명동의에관한인사청문특별위원회, 중앙선거관리위원회위원선출에관한인사청문특별위원회, 정치개혁특별위원회, 예산결산특별위원회, 법제사법위원회, 문화관광위원회, 재해대책특별위원회, 국회운영위원회, 인사청문특별위원회(헌재소장및재판관), 행정자치위원회, 농림해양수산위원회, 윤리특별위원회/서해안유류오염사고대책특별위원회, 국회운영위원회, 헌법재판소재판관후보자를겸하는헌법재판소장(이강국)임명동의에관한인사청문특별위원회, 투자활성화및일자리창출을위한특별위, 예산결산특별위원회, 국회개혁특별위원회, 재정경제위원회",재선,"제16대, 제17대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/XXJ47169.jpg
ZQS5105N,역대의원,문시환,文時煥,null,음,1899-08-12,null,조선민족청년단,경남 부산갑,지역구,null,null,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/ZQS5105N.jpg
VL42775J,역대의원,문용주,文龍珠,null,음,1833-02-08,null,민주정의당,null,전국구,null,상공위원회,초선,제11대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/VL42775J.jpg
8D298611,역대의원,문재인,文在寅,MOON Jae In,음,1953-01-24,null,민주통합당,부산 사상구,지역구,null,"남북관계 및 교류협력 발전 특별위원회, 국방위원회, 교육문화체육관광위원회, 기획재정위원회",초선,제19대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8D298611.jpg
3EF4589Q,역대의원,문정림,文靜林,MOON Jeong-lim,음,1961-12-22,null,자유선진당,비례대표,비례대표,null,"법제사법위원회, 중동호흡기증후군 대책 특별위원회, 공무원연금개혁 특별위원회, 대법관(박상옥) 임명동의에 관한 인사청문특별위원회, 윤리특별위원회, 공공의료 정상화를 위한 국정조사특별위원회, 국회운영위원회, 아동·여성대상 성폭력 대책 특별위원회, 헌법재판소 재판관(강일원·김이수·안창호) 선출에 관한 인사청문특별위원회, 보건복지위원회",초선,제19대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/3EF4589Q.jpg
GOC54665,현직의원,문정복,文貞福,MOON JEONGBOG,음,1967-01-10,위원,더불어민주당/더불어민주당,경기 시흥시갑/경기 시흥시갑,지역구/지역구,교육위원회,교육위원회,재선,"제21대, 제22대",여,02-784-9850,indobangrang@hanmail.net,https://blog.naver.com/indobangrang,"신희성, 최동식","백정균, 홍헌영","예성민, 이민주, 김재현, 이지아, 이수빈",○ 학력 - 이화여자대학교 정책과학대학원 석사졸업  ○ 경력 - 전) 제6.7대 시흥시의회 의원  - 전) 사람사는세상 노무현재단 기획위원  - 전) 문재인대통령 비서실 선임행정관 - 전) 더불어민주당 원내부대표 - 전) 21대 전반기 국토교통위원회 위원 - 전) 21대 전반기 예산결산특별위원회 위원 - 현) 21대 국회의원 - 현) 더불어민주당 경기도당 시흥시갑 지역위원장 - 현) 국회 교육위원회 위원 - 현) 정치개혁특별위원회 위원 ,의원회관 521호,https://www.assembly.go.kr/static/portal/img/openassm/new/20e051935a914f069c35c6e00dc22d70.png
FR056047,역대의원,문정수,文正秀,"Moon, Jung-soo",음,1939-08-09,null,신한민주당/통일민주당/민주자유당,부산 북구/부산 북구갑/부산 북구갑,지역구/지역구/지역구,null,"예산결산특별위원회, 내무위원회/상공위원회, 문화공보위원회, 조선대생이철규변사사건조사특별위원회, 예산결산특별위원회, 양대부정선거조사특별위원회, 내무위원회/행정위원회, 행정경제위원회, 윤리특별위원회, 내무위원회",3선,"제12대, 제13대, 제14대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/FR056047.jpg
RWS84983,역대의원,문종두,文鍾斗,null,음,1916-12-25,null,무소속/무소속,경북 김천군/경북 김천,지역구/지역구,null,"상공위원회/태풍재해대책특별위원회, 교통체신위원회, 상공위원회",재선,"제3대, 제4대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/RWS84983.jpg
U3E8106F,역대의원,문준식,文峻植,Moon Jun-sik,음,1923-05-20,null,통일민주당,null,전국구,null,"예산결산특별위원회, 건설위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/U3E8106F.jpg
WV97281W,역대의원,문진국,文鎭國,MOON JINKOOK,음,1949-02-01,null,새누리당,비례대표,비례대표,null,환경노동위원회,초선,제20대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/WV97281W.jpg
4U29186R,현직의원,문진석,文振碩,MOON JINSEOG,양,1962-02-12,위원,더불어민주당/더불어민주당,충남 천안시갑/충남 천안시갑,지역구/지역구,국토교통위원회,국토교통위원회,재선,"제21대, 제22대",남,02-784-9030,jmoon123@naver.com,https://blog.naver.com/jmoon123,"송우일, 이승원","신희범, 임준영","윤동현, 황신우, 윤솔비, 김보은, 윤하늘",○학력 1991년 중앙대 정치외교학과 졸업 2010년 고려대학교 정책대학원 석사 졸업 2018년 서울과학기술대학교 에너지환경대학원 박사과정 수료  ○경력 - 21대 국회 충남 천안시갑 국회의원(더불어민주당) - 현) 독립기념관 이사 - 현) 더불어민주당 을지로위원회 위원 - 현) 사단법인 유관순열사기념사업회 고문 - 전) 더불어민주당 국회운영위원회 간사 - 전) 더불어민주당 원내운영수석부대표 - 전) 더불어민주당 충남도당위원장 - 전) 더불어민주당 국토교통위원회 간사 - 전) 더불어민주당 코로나19 국난극복위원회 위원 - 전) 국회상임위원회 위원 정수에 관한 규칙 개정 특별위원회 - 전) 사단법인 유관순열사기념사업회 부회장 - 전) 단국대학교 초빙교수 - 전) 대통령직속 국가균형발전위원회 국민소통특별위원 - 전) 행정안전부 지방자치단체 합동평가위원 - 전) 양승조 충남도지사 비서실장 - 전) 2017년 문재인 대통령후보 선거대책위 남평포럼 사무총장 - 전) 2012년 문재인 대통령후보 선거대책본부 충남시민캠프 대표,의원회관 628호,https://www.assembly.go.kr/static/portal/img/openassm/new/81cfd832d09349ba95e28a111b700bfc.jpg
JQ81454B,역대의원,문창모,文昌模,"Moon, Chang-mo",음,1907-04-23,null,통일국민당,null,전국구,null,"보건복지위원회, 보건사회위원회",초선,제14대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/JQ81454B.jpg
DR66730Q,역대의원,문창탁,文昌鐸,null,음,1930-12-04,null,민주공화당,null,전국구,null,"예산결산특별위원회, 국방위원회, 국회운영위원회",초선,제8대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/DR66730Q.jpg
OHP33452,역대의원,문태갑,文胎甲,null,음,1930-02-25,null,유신정우회,null,통일주체국민회의,null,"예산결산특별위원회, 내무위원회",초선,제9대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/OHP33452.jpg
7KC1599Z,역대의원,문태준,文太俊,null,음,1928-01-14,null,민주공화당/민주공화당/민주공화당/민주공화당,"경북 청송,영덕/경북 청송,영덕/경북 청송,영덕,울진군/경북 청송,영덕,울진군",지역구/지역구/지역구/지역구,null,"예산결산특별위원회, 농림위원회/농림위원회, 상공위원회, 국방위원회, 국회운영위원회, 국회상임위원회위원정수에관한규칙중개정안기초특별위원회/상공위원회, 외무위원회, 재무위원회/보건사회위원회",4선,"제7대, 제8대, 제9대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/7KC1599Z.jpg
K3672835,역대의원,문학진,文學振,Moon Hak Jin,음,1954-10-26,국회의원,열린우리당/통합민주당,경기도 하남시/경기 하남시,지역구/지역구,null,"재정경제위원회, 예산결산특별위원회, 건설교통위원회, 남북관계발전특별위원회, 정무위원회/국토해양위원회, 지식경제위원회, 남북관계발전특별위원회, 독도영토수호대책특별위원회, 행정안전위원회, 예산결산특별위원회, 남북관계발전특별위원회, 외교통상통일위원회",재선,"제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/K3672835.jpg
YN58680J,역대의원,문형태,文亨泰,null,음,1922-02-03,null,민주공화당/민주공화당/민주공화당,"전남 곡성,화순군/전남 담양,곡성,화순군/전남 담양,곡성,화순군",지역구/지역구/지역구,null,"경제의안정과성장에관한긴급명령심사특별위원회, 재무위원회/예산결산특별위원회, 교통체신위원회, 재무위원회/국방위원회",3선,"제8대, 제9대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/YN58680J.jpg
8QY4415F,역대의원,문희,文姬,Moon Hee,음,1936-04-08,위원,한나라당,비례대표,비례대표,null,"여성가족위원회, 보건복지위원회",초선,제17대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8QY4415F.jpg
L975540P,역대의원,문희갑,文熹甲,"Moon, Hi-gab",음,1937-06-09,null,민주정의당/민주자유당,대구 서구갑,전국구/지역구,null,"재무위원회/내무위원회, 경제과학위원회, 노동위원회",재선,"제12대, 제13대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/L975540P.jpg
IYD4143Y,역대의원,문희상,文喜相,MOON HEESANG,양,1945-03-03,국회의원/국회의원/국회의원,민주당/새천년민주당/열린우리당/통합민주당/민주통합당/더불어민주당,경기 의정부시/경기 의정부시/경기 의정부시/경기 의정부시갑/경기 의정부시갑/경기 의정부시갑,지역구/지역구/지역구/지역구/지역구/지역구,null,"행정위원회, 여성특별위원회, 행정경제위원회, 문화체육공보위원회, 내무위원회/행정자치위원회, 남북관계발전지원특별위원회, 정보위원회, 예산결산특별위원회, 통일외교통상위원회/민족화해와번영을위한남북평화통일특별위원회, 통일외교통상위원회, 국방위원회, 정보위원회/국토해양위원회, 국무총리(김황식) 임명동의에 관한 인사청문특별위원회, 외교통상통일위원회, 국방위원회/외교통일위원회, 정보위원회, 안전행정위원회, 행정안전위원회/외교통일위원회",6선,"제14대, 제16대, 제17대, 제18대, 제19대, 제20대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/IYD4143Y.jpg
XG989909,역대의원,민경식,閔庚植,null,음,1920-12-13,null,대한독립촉성국민회,경기 용인,지역구,null,null,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/XG989909.jpg
Y3E8697I,역대의원,민경욱,閔庚旭,MIN KYUNGWOOK,음,1963-06-17,null,새누리당,인천 연수구을,지역구,null,"법제사법위원회, 헌법재판소 재판관 선출에 관한 인사청문특별위원회, 국토교통위원회, 과학기술정보방송통신위원회, 국회운영위원회, 미래창조과학방송통신위원회, 예산결산특별위원회",초선,제20대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/Y3E8697I.jpg
IFZ22975,역대의원,민관식,閔寬植,null,음,1918-05-03,null,무소속/무소속/민주당/민주공화당/민주공화당,"서울 동대문구/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑/서울 종로,중구",지역구/지역구/지역구/지역구/지역구,null,"교통체신위원회, 내무위원회, 국회운영위원회, 농림위원회/국방위원회, 보건사회위원회, 내무위원회/국방위원회, 한일간조약과제협정비준동의안심사특별위원회, 재정경제위원회/법제사법위원회",5선,"제3대, 제4대, 제5대, 제6대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/IFZ22975.jpg
VEL92627,역대의원,민기식,閔機植,null,음,1921-05-20,null,민주공화당/민주공화당/민주공화당,"충북 청원군/충북 청원군/충북 청주시,청원군",지역구/지역구/지역구,null,"예산결산특별위원회, 국방위원회/국방위원회/경제과학위원회, 예산결산특별위원회, 국방위원회",3선,"제7대, 제8대, 제9대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/VEL92627.jpg
NBP98519,역대의원,민병권,閔丙權,null,음,1918-09-27,null,민주공화당/민주공화당/민주공화당/유신정우회,"경남 함양,거창군/경남 함양,거창군/경남 함양,거창군",지역구/지역구/지역구/통일주체국민회의,null,"국방위원회, 교통체신위원회/국방위원회, 재정경제위원회/내무위원회/교통체신위원회, 국회운영위원회, 국회상임위원회위원정수에관한규칙중개정안기초특별위원회",4선,"제6대, 제7대, 제8대, 제9대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/NBP98519.jpg
IBC2672Y,역대의원,민병기,閔丙棋,null,음,1901-04-23,null,민주공화당,null,전국구,null,"보건사회위원회, 외무위원회",초선,제6대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/IBC2672Y.jpg
JF822002,역대의원,민병기,閔丙岐,null,음,1927-01-04,null,민주공화당,서울 성동구,지역구,null,"예산결산특별위원회, 외무위원회",초선,제9대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/JF822002.jpg
TZ228122,현직의원,민병덕,閔炳德,MIN BYOUNGDUG,음,1970-12-20,위원,더불어민주당/더불어민주당,경기 안양시동안구갑/경기 안양시동안구갑,지역구/지역구,"정무위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회","정무위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",재선,"제21대, 제22대",남,02-784-9540,anyangmin@gmail.com,https://blog.naver.com/anyangmin,"김대경, 김병섭","오재현, 홍순웅","전영규, 안성익, 윤다혜, 박영숙, 김아란","▶22대 더불어민주당 안양시동안구갑 국회의원  ▶제22대 국회 전반기 정무위원회 위원 ▶더불어민주당 을지키는민생실천위원회 위원장 ▶더불어민주당 정책위원회 수석부의장 ▶제21대 국회 전반기, 후반기 정무위원회 위원 ▶제21대 국회 후반기 예산결산특별위원회 위원 ▶더불어민주당 전국소상공인위원회 위원장 ▶더불어민주당 원내대표 비서실장 ▶더불어민주당 경기도당 기본사회위원회 위원장 ▶더불어민주당 기본사회위원회 본부장 ▶더불어민주당 경기도당 대일굴욕외교대책위원회 위원장 ▶더불어민주당 국민안전재난재해대책위원회 간사 ▶더불어민주당 민영화저지공공성강화대책위원회 위원 ▶더불어민주당 정책위원회 상임부의장 ▶더불어민주당 조직사무부총장 ▶더불어민주당 을지로위원회 상임운영위원 ▶더불어민주당 민생연석회의 공정분과장 ▶더불어민주당 경기도당 수석대변인 ▶더불어민주당 검찰공정수사촉구특별위원회위원 ▶국가균형발전위원회 국민소통 특별위원 ▶더불어민주당 을지로위원회 부위원장 ▶더불어민주당 중앙당선거관리위원회 위원 ▶2011년, 2014년 박원순 서울시장후보 법률지원단장  ▶서울특별시의회 입법 법률 고문 ▶안양 부안초등학교 운영위원장 ▶민주사회를위한변호사모임 민생경제위 간사 ▶서울시 도시주택분과 정책자문위원 ▶대한변호사협회 재개발&middot;재건축 법률지원변호사 ▶법무법인 &#39;민본&#39; 대표 변호사 ▶사법연수원 34기  ▶전남 해남출생(1970년), 서울대 정치학과 졸업 ",의원회관 927호,https://www.assembly.go.kr/static/portal/img/openassm/new/79413446d5564edd90faa2a1b279f9e8.jpg
